#Loyaute
#Lifou 328631
#WGS 1984 EPSG:3857 
#Source OpenStreetMap 
#clockwise
18620229.685165,-2405719.315503
18620260.732171,-2405535.389546
18620294.172546,-2405351.453567
18620291.790309,-2405271.443087
18620266.710028,-2405169.918004
18620238.045259,-2405081.543447
18620239.236378,-2405031.378016
18620259.541053,-2404997.930496
18620308.510497,-2404954.936863
18620363.446665,-2404866.563379
18620421.967322,-2404768.620395
18620453.025460,-2404692.192309
18620456.609947,-2404667.110127
18620460.194435,-2404630.083546
18620470.936766,-2404599.035212
18620493.634810,-2404570.361492
18620506.770510,-2404552.450881
18620517.512841,-2404511.844813
18620518.414529,-2404498.707225
18620513.638922,-2404487.956127
18620504.377141,-2404478.099965
18620496.618172,-2404469.747290
18620492.143129,-2404460.189447
18620491.542003,-2404422.566681
18620489.749760,-2404410.920702
18620489.749760,-2404397.186572
18620495.427054,-2404384.049069
18620496.017047,-2404367.630186
18620491.842566,-2404357.774091
18620485.274716,-2404344.636618
18620479.897985,-2404329.709309
18620477.805178,-2404309.710792
18620480.788541,-2404281.932460
18620484.373028,-2404263.270409
18620483.326625,-2404250.431311
18620479.296859,-2404244.918616
18620471.983169,-2404237.150730
18620471.237328,-2404231.029495
18620474.220691,-2404225.803179
18620480.499110,-2404219.383642
18620485.864709,-2404214.909060
18620489.003919,-2404204.158134
18620483.482472,-2404175.938476
18620468.554529,-2404143.697721
18620446.902888,-2404103.832383
18620428.535172,-2404080.994275
18620408.085781,-2404062.034132
18620391.966719,-2404055.161235
18620385.098306,-2404053.896431
18620377.929331,-2404054.421444
18620374.868045,-2404053.299826
18620372.853162,-2404050.686694
18620370.537717,-2404046.951944
18620365.762111,-2404043.074010
18620361.364991,-2404039.637565
18620359.049546,-2404035.676108
18620359.272185,-2404032.323189
18620361.064428,-2404031.428282
18620364.348353,-2404029.113455
18620366.062673,-2404025.677013
18620366.207389,-2404021.643966
18620364.570992,-2404012.098298
18620359.572747,-2403984.547142
18620358.826907,-2403947.975404
18620356.288822,-2403937.976359
18620352.993765,-2403928.860288
18620345.835922,-2403921.247657
18620342.095587,-2403914.983347
18620334.336619,-2403911.093510
18620314.933631,-2403910.055425
18620306.718253,-2403909.757125
18620302.543772,-2403907.812207
18620301.942647,-2403902.585986
18620306.573538,-2403886.167550
18620312.540262,-2403873.627025
18620322.247322,-2403867.052501
18620352.103209,-2403852.579009
18620363.747228,-2403843.773214
18620368.378119,-2403836.303803
18620368.823397,-2403824.813326
18620358.971622,-2403794.351068
18620341.650309,-2403755.536525
18620304.324884,-2403699.552094
18620276.261240,-2403661.489464
18620262.379700,-2403648.638871
18620236.397731,-2403631.624079
18620225.354837,-2403627.149645
18620217.885299,-2403620.575212
18620212.964978,-2403611.912713
18620214.156096,-2403591.020122
18620215.347215,-2403583.849112
18620213.566103,-2403576.690037
18620209.681053,-2403574.590043
18620204.003759,-2403571.905391
18620194.452546,-2403563.553143
18620192.059177,-2403556.978733
18620187.884696,-2403522.937410
18620183.109090,-2403478.754184
18620181.906840,-2403470.986634
18620183.109090,-2403464.424191
18620187.283571,-2403458.446403
18620188.474690,-2403450.082277
18620181.906840,-2403427.400123
18620175.338990,-2403415.456507
18620165.787778,-2403405.302650
18620155.635440,-2403398.131715
18620145.483102,-2403390.376132
18620141.898615,-2403386.784702
18620139.516378,-2403381.415455
18620139.516378,-2403371.858200
18620140.106371,-2403359.318040
18620143.991421,-2403339.905268
18620144.136137,-2403333.784343
18620139.215815,-2403330.658257
18620128.161790,-2403331.254838
18620115.627215,-2403328.868514
18620109.059365,-2403326.470258
18620103.081508,-2403319.311287
18620103.081508,-2403313.930129
18620107.267121,-2403308.560905
18620112.643853,-2403298.407109
18620112.042727,-2403285.867000
18620106.665996,-2403276.906376
18620096.513658,-2403269.747425
18620083.979084,-2403264.366282
18620073.225621,-2403255.405669
18620067.848890,-2403245.860413
18620062.483290,-2403218.382038
18620056.505433,-2403206.736851
18620047.254784,-2403190.915636
18620032.026277,-2403174.796148
18620017.387764,-2403155.980153
18620002.760383,-2403138.369260
18619986.040196,-2403120.448165
18619969.320008,-2403098.959579
18619957.375427,-2403089.402477
18619948.425340,-2403082.828243
18619944.840852,-2403075.072798
18619945.430846,-2403067.901997
18619944.840852,-2403060.134627
18619937.070752,-2403053.572336
18619923.333927,-2403046.998116
18619911.400477,-2403039.839258
18619900.045889,-2403026.106190
18619885.117945,-2403004.605787
18619870.791127,-2402985.491689
18619859.447671,-2402968.775818
18619848.093083,-2402961.008492
18619823.012802,-2402950.258327
18619801.517008,-2402940.104736
18619781.212333,-2402928.161448
18619771.059995,-2402915.025034
18619764.492145,-2402910.252498
18619757.323170,-2402907.866230
18619748.963076,-2402906.673096
18619741.805233,-2402900.695497
18619738.220745,-2402885.172838
18619732.844014,-2402878.598680
18619726.276164,-2402869.638262
18619720.899433,-2402866.058868
18619704.179245,-2402855.905326
18619694.628033,-2402849.939675
18619677.685206,-2402842.470683
18619675.892962,-2402839.929318
18619673.054315,-2402833.212001
18619670.438307,-2402830.527461
18619664.171020,-2402827.914510
18619650.434195,-2402827.842922
18619637.298495,-2402824.860101
18619630.129520,-2402818.285966
18619618.786064,-2402810.518705
18619602.667001,-2402805.746197
18619578.777839,-2402795.592689
18619567.434383,-2402790.223621
18619560.265407,-2402779.473560
18619556.981482,-2402768.126942
18619552.795870,-2402764.249288
18619544.435776,-2402764.249288
18619538.769614,-2402766.635537
18619524.431663,-2402769.916629
18619513.088207,-2402768.723505
18619507.410913,-2402765.442413
18619506.520357,-2402761.552828
18619505.919232,-2402751.399345
18619502.935870,-2402748.416537
18619495.176901,-2402747.819976
18619485.614557,-2402749.013099
18619476.664470,-2402747.223414
18619468.894369,-2402738.859624
18619462.927645,-2402734.087134
18619452.775307,-2402730.507768
18619436.645113,-2402726.319911
18619426.503907,-2402720.354304
18619417.542688,-2402711.990526
18619409.772588,-2402709.604285
18619399.631382,-2402711.393965
18619387.686801,-2402713.481927
18619375.742219,-2402709.604285
18619353.344738,-2402700.643952
18619344.684082,-2402698.854272
18619327.963894,-2402697.661152
18619312.735388,-2402694.081793
18619298.709132,-2402691.087064
18619289.447350,-2402691.385344
18619278.103894,-2402690.192224
18619271.235482,-2402688.999105
18619264.968194,-2402687.507706
18619259.290900,-2402688.104266
18619251.832494,-2402688.402546
18619212.113700,-2402682.735231
18619195.092950,-2402680.038783
18619187.935107,-2402677.354266
18619181.957250,-2402669.897278
18619183.159500,-2402662.726641
18619179.864443,-2402655.556008
18619175.088837,-2402653.468053
18619170.914356,-2402653.468053
18619154.784162,-2402660.936965
18619150.910244,-2402663.024921
18619145.533512,-2402663.323200
18619141.949025,-2402661.533524
18619139.566788,-2402661.235245
18619130.004444,-2402663.323200
18619115.377062,-2402664.218038
18619105.525288,-2402662.428362
18619099.547431,-2402657.954173
18619096.864631,-2402652.274936
18619091.187337,-2402647.800749
18619086.712294,-2402646.309354
18619079.843881,-2402646.905912
18619070.292669,-2402649.292145
18619045.212387,-2402647.502470
18619033.857799,-2402647.204191
18619024.006024,-2402644.507749
18619016.247056,-2402639.437006
18619011.170887,-2402634.366264
18619004.603037,-2402631.669824
18618999.526868,-2402630.774987
18618993.849574,-2402634.366264
18618990.265087,-2402641.226680
18618984.899487,-2402646.011075
18618979.823319,-2402647.204191
18618969.370418,-2402645.712796
18618955.333031,-2402642.419796
18618944.290137,-2402640.033564
18618931.455000,-2402640.630122
18618884.277800,-2402642.121517
18618875.917706,-2402641.226680
18618868.748731,-2402637.945611
18618856.503587,-2402634.067986
18618835.898349,-2402629.880151
18618830.232187,-2402629.283593
18618823.063212,-2402630.476708
18618817.385918,-2402635.261101
18618812.610311,-2402639.138727
18618804.250218,-2402638.840448
18618794.699005,-2402641.524959
18618786.338912,-2402645.402586
18618778.279380,-2402645.712796
18618768.427605,-2402643.911191
18618763.351437,-2402639.138727
18618753.199099,-2402634.366264
18618739.161711,-2402632.564660
18618723.632642,-2402630.476708
18618705.120211,-2402629.581872
18618698.407646,-2402633.769707
18618693.932602,-2402636.895669
18618688.255308,-2402641.381785
18618679.895214,-2402645.855970
18618674.674330,-2402647.943923
18618670.789280,-2402647.645644
18618669.297599,-2402646.011075
18618667.349508,-2402642.574901
18618665.111986,-2402641.823238
18618659.590539,-2402643.768017
18618655.115496,-2402646.905912
18618648.091236,-2402649.733598
18618638.540024,-2402650.186982
18618628.087123,-2402648.993866
18618622.265114,-2402647.204191
18618617.188945,-2402647.645644
18618612.413339,-2402649.292145
18618606.446614,-2402652.274936
18618596.138430,-2402655.412833
18618582.256889,-2402658.395626
18618578.672401,-2402660.638686
18618576.735442,-2402661.831803
18618573.752080,-2402661.831803
18618570.612870,-2402659.290464
18618566.727820,-2402658.097347
18618561.206373,-2402657.954173
18618552.846280,-2402659.743848
18618547.168986,-2402660.042128
18618540.901698,-2402660.042128
18618534.333848,-2402659.147290
18618530.749361,-2402657.655893
18618523.290955,-2402654.661170
18618516.121980,-2402656.152566
18618487.757773,-2402668.990509
18618479.998805,-2402672.581794
18618471.338148,-2402672.581794
18618452.825717,-2402671.985235
18618443.263373,-2402671.388676
18618399.080667,-2402675.564589
18618385.343842,-2402676.161148
18618380.568236,-2402676.161148
18618369.514210,-2402680.635342
18618364.738604,-2402682.138671
18618353.996273,-2402684.226629
18618341.450567,-2402685.121468
18618330.407673,-2402686.911147
18618321.446454,-2402686.612867
18618311.294117,-2402683.630070
18618293.972804,-2402682.436951
18618287.404954,-2402682.436951
18618280.837104,-2402683.928350
18618276.362060,-2402688.104266
18618268.302529,-2402693.186954
18618259.341310,-2402694.380073
18618254.265141,-2402691.385344
18618252.773460,-2402686.016308
18618250.981216,-2402684.226629
18618243.511679,-2402682.436951
18618228.583735,-2402676.161148
18618223.218135,-2402674.371471
18618220.969482,-2402673.321527
18618217.986119,-2402671.686955
18618215.448035,-2402669.443893
18618213.655791,-2402669.598999
18618212.019395,-2402671.531850
18618212.609388,-2402674.669750
18618214.101069,-2402677.354266
18618217.685557,-2402679.895609
18618217.384994,-2402682.878405
18618215.448035,-2402684.226629
18618207.989629,-2402687.805986
18618195.143360,-2402689.297385
18618191.269442,-2402688.402546
18618189.766628,-2402683.928350
18618189.176635,-2402678.547385
18618187.974385,-2402677.055987
18618178.423172,-2402673.476632
18618176.330366,-2402670.195558
18618173.647566,-2402668.393950
18618171.855322,-2402669.002440
18618171.554760,-2402671.985235
18618172.155885,-2402674.669750
18618174.248691,-2402679.740503
18618175.139247,-2402682.436951
18618174.248691,-2402685.718028
18618171.855322,-2402685.121468
18618167.680841,-2402685.121468
18618161.702985,-2402684.823189
18618158.419060,-2402687.507706
18618153.643454,-2402692.280183
18618147.075604,-2402693.186954
18618139.606066,-2402691.683623
18618136.021578,-2402687.209427
18618129.453728,-2402681.542112
18618121.093635,-2402678.547385
18618112.444110,-2402679.740503
18618107.957935,-2402682.735231
18618102.291773,-2402683.033511
18618094.822235,-2402678.845664
18618089.144941,-2402670.493837
18618082.877653,-2402663.323200
18618071.233635,-2402655.257728
18618064.064659,-2402650.783541
18618060.480172,-2402650.783541
18618058.097935,-2402651.976657
18618053.912322,-2402658.252452
18618048.546722,-2402665.411156
18618041.678310,-2402669.897278
18618032.115966,-2402670.195558
18618016.598029,-2402666.902553
18618007.035684,-2402662.428362
18617995.992791,-2402658.550731
18617986.141016,-2402655.556008
18617975.688116,-2402656.152566
18617961.951291,-2402657.954173
18617955.684003,-2402660.936965
18617945.531666,-2402666.604273
18617940.455497,-2402670.792117
18617937.472135,-2402670.792117
18617924.336435,-2402667.200832
18617909.107928,-2402663.919759
18617895.070540,-2402663.919759
18617887.601003,-2402666.902553
18617880.743722,-2402667.499111
18617873.875309,-2402664.516318
18617855.362878,-2402658.252452
18617840.134372,-2402659.743848
18617833.867084,-2402663.621479
18617829.380909,-2402667.200832
18617825.796421,-2402667.499111
18617823.113622,-2402663.919759
18617818.638578,-2402659.445569
18617813.851840,-2402658.550731
18617807.584553,-2402661.533524
18617803.410072,-2402662.726641
18617798.033340,-2402661.235245
18617790.263240,-2402654.661170
18617780.712028,-2402649.292145
18617775.045865,-2402648.397308
18617770.559690,-2402648.695587
18617765.483521,-2402649.888703
18617758.615109,-2402654.661170
18617754.741190,-2402658.550731
18617749.063896,-2402663.024921
18617741.004365,-2402663.024921
18617724.584740,-2402656.749124
18617717.415765,-2402652.274936
18617708.755109,-2402646.309354
18617701.285571,-2402640.630122
18617696.810527,-2402636.454217
18617685.166509,-2402632.266381
18617676.806415,-2402631.073266
18617672.331371,-2402631.371545
18617669.047446,-2402632.564660
18617665.763521,-2402637.050774
18617660.086227,-2402642.718075
18617655.611184,-2402643.612912
18617650.835578,-2402642.718075
18617644.857721,-2402639.735285
18617641.273233,-2402634.067986
18617637.098753,-2402631.669824
18617629.039221,-2402629.880151
18617617.094640,-2402628.388757
18617608.734546,-2402628.985315
18617598.882771,-2402629.581872
18617592.014359,-2402633.161218
18617589.320427,-2402636.752495
18617585.446509,-2402641.226680
18617582.452014,-2402644.507749
18617575.884165,-2402648.099029
18617564.841271,-2402648.397308
18617541.553234,-2402648.695587
18617529.608652,-2402651.678378
18617520.947996,-2402651.380099
18617517.363508,-2402649.292145
18617515.270702,-2402645.402586
18617514.079583,-2402640.331843
18617512.587902,-2402637.945611
18617501.244446,-2402637.050774
18617473.169670,-2402639.138727
18617467.804071,-2402639.437006
18617465.110139,-2402640.033564
18617459.733408,-2402643.911191
18617452.275002,-2402646.607633
18617443.614346,-2402648.099029
18617433.462008,-2402647.502470
18617420.626871,-2402646.011075
18617414.949577,-2402644.209470
18617403.906683,-2402642.121517
18617387.475926,-2402640.928401
18617375.831908,-2402640.928401
18617362.996770,-2402643.016354
18617352.543870,-2402646.905912
18617346.276583,-2402647.800749
18617343.293220,-2402646.011075
18617340.309858,-2402644.507749
18617332.840320,-2402645.712796
18617327.764151,-2402648.397308
18617322.086857,-2402652.871495
18617316.721258,-2402660.936965
18617308.361164,-2402670.792117
18617301.793314,-2402676.757707
18617294.323776,-2402680.945553
18617287.755926,-2402686.314587
18617282.078632,-2402687.805986
18617277.303026,-2402685.419748
18617273.417976,-2402680.635342
18617269.243495,-2402676.459428
18617265.959570,-2402674.669750
18617254.014989,-2402674.073191
18617245.955458,-2402674.073191
18617232.519195,-2402671.090396
18617226.251908,-2402670.195558
18617220.875176,-2402664.218038
18617217.591251,-2402656.749124
18617212.214520,-2402651.380099
18617205.947233,-2402648.695587
18617194.303214,-2402649.292145
18617182.058070,-2402650.186982
18617177.282464,-2402651.678378
18617172.796288,-2402656.152566
18617168.321245,-2402662.726641
18617166.228438,-2402670.195558
18617162.643951,-2402674.669750
18617157.278351,-2402676.161148
18617149.207688,-2402673.178353
18617136.973676,-2402671.388676
18617118.761808,-2402673.178353
18617104.423857,-2402675.564589
18617077.551332,-2402682.735231
18617067.398994,-2402686.911147
18617062.322826,-2402688.104266
18617054.263295,-2402688.700825
18617046.203763,-2402686.911147
18617034.259182,-2402681.542112
18617019.631801,-2402673.476632
18617002.911613,-2402666.604273
18616996.633194,-2402663.919759
18616977.530770,-2402659.445569
18616959.018338,-2402654.064611
18616934.528050,-2402648.695587
18616907.956088,-2402641.524959
18616874.515713,-2402638.243890
18616860.188894,-2402636.155938
18616851.227675,-2402632.266381
18616843.168144,-2402627.493921
18616833.906363,-2402622.124904
18616816.885612,-2402614.954287
18616806.443844,-2402612.866337
18616794.198700,-2402610.778388
18616784.936919,-2402607.485394
18616771.211225,-2402601.221548
18616760.157200,-2402592.559548
18616752.698794,-2402585.687221
18616747.322063,-2402578.826827
18616741.054775,-2402574.340728
18616727.317950,-2402569.270005
18616717.766738,-2402567.778616
18616711.788881,-2402568.673449
18616707.903831,-2402571.357949
18616697.751493,-2402574.937283
18616689.992525,-2402574.340728
18616678.649069,-2402567.778616
18616672.081219,-2402563.602728
18616668.496731,-2402561.801131
18616663.420562,-2402561.204576
18616647.590931,-2402560.011465
18616635.946912,-2402557.625245
18616625.505144,-2402553.747637
18616600.124300,-2402543.892551
18616571.459531,-2402536.125410
18616556.231025,-2402529.265036
18616532.642425,-2402524.480672
18616525.172887,-2402523.585841
18616516.512230,-2402527.165165
18616507.562143,-2402530.756421
18616500.393168,-2402530.756421
18616495.617562,-2402529.563313
18616491.732512,-2402524.778949
18616484.864099,-2402515.818709
18616477.995687,-2402508.063513
18616472.329524,-2402504.472261
18616463.368305,-2402500.892941
18616451.123161,-2402499.103282
18616440.970824,-2402500.594665
18616433.512418,-2402499.998111
18616426.343443,-2402497.313622
18616416.191105,-2402494.927410
18616411.415499,-2402489.248226
18616404.246524,-2402487.160291
18616399.771480,-2402486.862015
18616394.094186,-2402489.248226
18616386.635780,-2402490.143055
18616373.789511,-2402486.862015
18616364.238299,-2402482.686146
18616356.178768,-2402477.901795
18616350.802036,-2402474.620756
18616341.851949,-2402468.046751
18616338.556892,-2402464.169162
18616336.174655,-2402459.396747
18616332.289605,-2402457.296885
18616327.213436,-2402456.998609
18616321.547274,-2402460.589851
18616317.061099,-2402461.782954
18616313.476611,-2402460.589851
18616310.793811,-2402455.805505
18616309.903255,-2402450.436541
18616307.509886,-2402445.055647
18616306.018205,-2402443.862544
18616302.133155,-2402444.160820
18616296.756424,-2402447.155507
18616283.320161,-2402447.155507
18616274.370074,-2402447.155507
18616265.408855,-2402445.652198
18616245.705305,-2402439.686685
18616236.142961,-2402437.897032
18616217.341099,-2402431.323040
18616212.264930,-2402426.550633
18616208.079317,-2402422.362848
18616203.604274,-2402421.169746
18616198.828668,-2402422.959398
18616194.342492,-2402425.059256
18616190.769136,-2402426.848909
18616185.392405,-2402424.760981
18616179.414548,-2402416.993893
18616177.332874,-2402415.204242
18616174.638942,-2402414.905967
18616168.672218,-2402417.888719
18616162.104368,-2402420.871471
18616158.219317,-2402420.573196
18616156.126511,-2402416.397343
18616151.651467,-2402410.718184
18616149.859224,-2402410.121634
18616129.999826,-2402410.276737
18616127.161179,-2402410.276737
18616121.639733,-2402409.978462
18616116.719411,-2402408.188811
18616112.834361,-2402405.194130
18616109.850999,-2402403.702755
18616107.457630,-2402403.404480
18616103.283149,-2402405.647508
18616100.444502,-2402405.945783
18616098.206980,-2402404.597580
18616095.067770,-2402402.963033
18616091.182720,-2402402.068208
18616088.054642,-2402403.106205
18616082.978473,-2402403.261308
18616078.347583,-2402401.614830
18616074.017254,-2402399.670078
18616068.941086,-2402399.371803
18616063.419639,-2402399.968352
18616047.445292,-2402397.880428
18616036.691829,-2402395.351057
18616032.361501,-2402394.599405
18616028.487583,-2402392.952928
18616024.157255,-2402390.865004
18616021.318608,-2402390.125283
18616016.097723,-2402391.318382
18616012.212673,-2402392.213206
18616009.229311,-2402391.759829
18616007.136504,-2402388.932184
18616005.644823,-2402385.197785
18616003.997295,-2402381.761661
18616000.268092,-2402379.518636
18615996.683604,-2402379.375464
18615992.353276,-2402381.463386
18615988.323510,-2402384.744407
18615982.946779,-2402386.832330
18615978.026458,-2402387.130605
18615974.297255,-2402385.340956
18615970.111642,-2402382.358210
18615964.144917,-2402380.115185
18615959.358179,-2402379.972013
18615954.282010,-2402381.904833
18615947.569445,-2402382.799656
18615940.255754,-2402382.799656
18615937.417107,-2402381.606558
18615934.578460,-2402380.568562
18615933.387342,-2402378.027263
18615932.942064,-2402374.447969
18615931.149820,-2402370.856744
18615928.455888,-2402369.520475
18615924.726685,-2402368.327377
18615920.251642,-2402368.470549
18615913.383229,-2402371.011847
18615908.451776,-2402372.503219
18615903.230892,-2402373.696317
18615899.946967,-2402375.784239
18615897.408882,-2402377.132439
18615894.570235,-2402376.834165
18615892.176866,-2402375.939341
18615888.302948,-2402373.398043
18615883.816773,-2402369.961921
18615878.740604,-2402367.432554
18615875.456679,-2402366.836005
18615871.582760,-2402368.327377
18615869.345239,-2402371.608396
18615867.697710,-2402372.956596
18615866.061314,-2402372.658322
18615863.968507,-2402369.818749
18615858.736491,-2402366.537731
18615854.562010,-2402366.239457
18615851.422801,-2402367.277451
18615848.884716,-2402370.415298
18615845.756639,-2402373.851420
18615841.871588,-2402374.889415
18615837.095982,-2402374.149694
18615832.765654,-2402374.149694
18615824.405560,-2402376.679062
18615812.316264,-2402377.585817
18615806.638970,-2402377.728988
18615801.562801,-2402378.922087
18615795.885507,-2402381.165112
18615791.711026,-2402384.004686
18615788.271254,-2402385.496059
18615785.889016,-2402385.639231
18615782.159814,-2402384.446132
18615777.228360,-2402381.308283
18615770.805225,-2402378.480640
18615766.775460,-2402375.784239
18615761.109298,-2402373.099768
18615756.322560,-2402371.608396
18615752.292794,-2402372.204945
18615747.962466,-2402373.398043
18615743.342707,-2402376.834165
18615739.457657,-2402381.463386
18615734.236773,-2402385.496059
18615730.652285,-2402388.025429
18615720.800510,-2402390.125283
18615712.729847,-2402392.511481
18615700.195272,-2402396.687329
18615687.059573,-2402399.073528
18615672.721622,-2402402.664758
18615665.853210,-2402403.857858
18615659.585922,-2402403.857858
18615656.903122,-2402404.454408
18615649.734147,-2402408.331983
18615643.466860,-2402412.221490
18615637.789566,-2402415.502517
18615630.320028,-2402416.695618
18615625.243859,-2402416.397343
18615621.369941,-2402416.993893
18615618.386579,-2402419.678370
18615615.392084,-2402421.468022
18615613.310410,-2402420.871471
18615608.824234,-2402419.081820
18615601.365829,-2402419.081820
18615595.087409,-2402422.064572
18615591.514054,-2402427.743735
18615587.929566,-2402432.217866
18615576.875541,-2402434.604070
18615567.324328,-2402436.107378
18615563.439278,-2402439.686685
18615561.057041,-2402443.265993
18615557.773116,-2402444.459095
18615554.188628,-2402445.055647
18615550.003015,-2402448.348610
18615547.019653,-2402451.629644
18615541.943484,-2402453.121023
18615532.392272,-2402454.015850
18615518.655447,-2402460.291575
18615509.404797,-2402465.063990
18615505.519747,-2402468.046751
18615499.842453,-2402469.836407
18615491.181797,-2402469.836407
18615484.313384,-2402472.831099
18615476.554415,-2402480.586281
18615470.877121,-2402489.248226
18615467.303766,-2402493.436027
18615455.359184,-2402500.892941
18615448.490772,-2402502.980878
18615438.037872,-2402504.770538
18615429.677778,-2402506.870406
18615418.634884,-2402509.256620
18615409.673665,-2402506.572129
18615405.042775,-2402505.522195
18615402.359975,-2402506.417025
18615400.122453,-2402509.554896
18615396.682681,-2402515.675537
18615395.636278,-2402519.708240
18615388.923712,-2402525.972057
18615384.893947,-2402527.021992
18615379.962493,-2402527.021992
18615371.902962,-2402526.127161
18615365.034550,-2402525.530607
18615358.611415,-2402527.021992
18615348.314362,-2402529.861590
18615344.585159,-2402531.496149
18615337.861462,-2402534.192574
18615320.840712,-2402544.930556
18615316.510384,-2402547.030428
18615311.590062,-2402549.858098
18615307.560296,-2402551.504590
18615302.484128,-2402553.151082
18615297.407959,-2402554.487365
18615292.932915,-2402556.432134
18615288.602587,-2402558.818355
18615284.862252,-2402559.868292
18615278.450250,-2402560.011465
18615266.806231,-2402559.713188
18615263.366459,-2402559.271737
18615261.874777,-2402559.570015
18615260.527812,-2402560.906298
18615259.336693,-2402563.292519
18615258.891415,-2402566.287227
18615257.845012,-2402569.425109
18615255.162212,-2402570.761394
18615249.629633,-2402571.214776
18615244.854027,-2402570.761394
18615240.223136,-2402571.811332
18615236.649781,-2402575.545770
18615231.573612,-2402579.721661
18615222.612393,-2402583.157823
18615213.506459,-2402583.157823
18615209.921971,-2402583.300997
18615206.337483,-2402584.350935
18615203.955246,-2402586.892264
18615199.914349,-2402589.278489
18615194.392902,-2402590.471601
18615189.316733,-2402592.857826
18615185.587530,-2402595.697435
18615179.765521,-2402601.221548
18615175.290478,-2402605.994002
18615170.960149,-2402608.081950
18615166.028696,-2402608.678507
18615157.368039,-2402609.573343
18615150.956037,-2402612.412954
18615134.681127,-2402621.373242
18615119.597336,-2402629.581872
18615109.300283,-2402633.757776
18615103.322427,-2402635.857659
18615095.262896,-2402636.454217
18615077.051027,-2402636.752495
18615061.232527,-2402638.840448
18615047.796265,-2402641.524959
18615037.643927,-2402645.402586
18615029.873827,-2402654.362891
18615024.207665,-2402659.147290
18615014.945883,-2402665.112876
18615005.094108,-2402668.095670
18614998.225695,-2402671.090396
18614991.357283,-2402671.388676
18614971.052608,-2402670.195558
18614956.725789,-2402671.985235
18614927.459895,-2402675.266309
18614906.565227,-2402677.652546
18614891.926714,-2402677.055987
18614875.507089,-2402674.968030
18614863.863070,-2402673.476632
18614853.410170,-2402672.283514
18614844.460083,-2402669.897278
18614837.291108,-2402667.499111
18614823.253720,-2402666.305994
18614811.309138,-2402666.007714
18614803.249607,-2402668.692229
18614796.091764,-2402673.178353
18614786.829982,-2402680.337062
18614783.245495,-2402685.121468
18614777.868763,-2402690.192224
18614770.109795,-2402694.081793
18614758.766339,-2402693.783514
18614731.893814,-2402690.490504
18614713.681945,-2402692.578463
18614692.175019,-2402696.169753
18614684.115488,-2402697.661152
18614674.564276,-2402703.328472
18614665.013064,-2402709.902565
18614657.844088,-2402713.481927
18614640.823338,-2402715.868168
18614630.370438,-2402715.868168
18614622.611470,-2402715.271608
18614615.442494,-2402716.774940
